id,texto,etiqueta,fecha
488,Poor customer service,negativo,2026-01-28 22:34:56
489,This update includes bug fixes,neutral,2026-01-29 12:45:25
490,Amazing experience with the service,positivo,2026-01-29 13:55:11
491,Too many bugs and errors,negativo,2026-01-29 22:03:33
492,User logged in from a new device,neutral,2026-01-30 03:24:02
493,This platform helped me grow,positivo,2026-01-30 15:56:04
494,Poor customer service,negativo,2026-01-30 18:36:58
495,Version 2.1 is now available,neutral,2026-01-30 19:05:23
496,Highly recommend this tool,positivo,2026-01-30 20:26:20
497,This is the worst tool I've used,negativo,2026-01-30 23:31:02
498,This update includes bug fixes,neutral,2026-01-31 01:28:24
499,Truly a game changer,positivo,2026-01-31 01:39:58
500,Extremely slow and unresponsive,negativo,2026-01-31 08:03:27
501,System maintenance will occur tonight,neutral,2026-01-31 11:44:30
502,Truly a game changer,positivo,2026-01-31 23:22:17
