id,texto,etiqueta,fecha
488,Poor customer service,negativo,2026-01-29 12:43:54
489,This update includes bug fixes,neutral,2026-01-29 12:55:20
490,Amazing experience with the service,positivo,2026-01-29 15:53:47
491,Too many bugs and errors,negativo,2026-01-29 16:54:11
492,User logged in from a new device,neutral,2026-01-30 02:57:28
493,This platform helped me grow,positivo,2026-01-30 08:14:53
494,Poor customer service,negativo,2026-01-30 20:30:45
495,Version 2.1 is now available,neutral,2026-01-30 23:16:29
496,Highly recommend this tool,positivo,2026-01-31 01:11:22
497,This is the worst tool I've used,negativo,2026-01-31 03:50:49
498,This update includes bug fixes,neutral,2026-01-31 13:20:08
499,Truly a game changer,positivo,2026-01-31 20:46:32
500,Extremely slow and unresponsive,negativo,2026-01-31 21:04:18
501,System maintenance will occur tonight,neutral,2026-01-31 22:36:44
502,Truly a game changer,positivo,2026-01-31 23:27:57
